vacancy_name;salary_min;salary_max;vacancy_link;site
Плотник-бетонщик;60000.0;70000.0;https://lobnya.hh.ru/vacancy/46259577?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;28000.0;28000.0;https://lobnya.hh.ru/vacancy/46288554?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Упаковщик (плотник);51500.0;70000.0;https://lobnya.hh.ru/vacancy/41486781?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;20000.0;;https://lobnya.hh.ru/vacancy/49470393?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник 4-5 разряда;25000.0;;https://lobnya.hh.ru/vacancy/44007998?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник-бетонщик;;;https://lobnya.hh.ru/vacancy/48190221?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;25600.0;25600.0;https://lobnya.hh.ru/vacancy/48780607?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;30000.0;35000.0;https://lobnya.hh.ru/vacancy/48744542?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник/бетонщик;36000.0;;https://lobnya.hh.ru/vacancy/41913822?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;46000.0;;https://lobnya.hh.ru/vacancy/49747805?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Кровельщик-плотник;22000.0;22000.0;https://lobnya.hh.ru/vacancy/49747878?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;30000.0;35000.0;https://lobnya.hh.ru/vacancy/49071718?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Столяр, Плотник сборка мебели;70000.0;130000.0;https://lobnya.hh.ru/vacancy/49664218?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;;;https://lobnya.hh.ru/vacancy/49570970?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;;31000.0;https://lobnya.hh.ru/vacancy/49733548?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник на склад;34000.0;40000.0;https://lobnya.hh.ru/vacancy/49060499?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;;;https://lobnya.hh.ru/vacancy/49340563?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник;30000.0;;https://lobnya.hh.ru/vacancy/48505492?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник-бетонщик;1200.0;;https://lobnya.hh.ru/vacancy/49634144?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
Плотник-электрик;30000.0;35000.0;https://lobnya.hh.ru/vacancy/49303600?from=vacancy_search_list&query=%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B8%D0%BA;hh.ru
